Id,Predicted
1,6455
2,5778
3,6492
4,8872
5,8297
6,6650
7,6073
8,1650
9,476
10,4948
11,608
12,1624
13,5688
14,1168
15,5565
16,4841
17,2924
18,743
19,6937
20,325
21,5801
22,8931
23,7647
24,8704
25,3566
26,4106
27,4185
28,8739
29,8722
30,5968
31,6898
32,9911
33,4185
34,1463
35,7487
36,9911
37,169
38,1561
39,9218
40,3989
41,1665
42,1171
43,1669
44,2989
45,6156
46,4106
47,3936
48,5393
49,3729
50,8329
51,4106
52,1420
53,3085
54,6700
55,2139
56,8064
57,6455
58,1881
59,360
60,2081
61,9135
62,6024
63,9051
64,7936
65,5393
66,8363
67,3658
68,4106
69,1509
70,2136
71,9745
72,2566
73,6898
74,4562
75,3761
76,7487
77,8230
78,325
79,7368
80,6428
81,4925
82,1416
83,1510
84,5519
85,4562
86,5359
87,8930
88,5506
89,5424
90,4649
91,9956
92,9645
93,5424
94,4974
95,1416
96,1769
97,9353
98,4562
99,3220
100,4562
101,7362
102,7362
103,7936
104,5098
105,4974
106,1113
107,3989
108,5396
109,7505
110,9592
111,5485
112,6732
113,5588
114,3729
115,1350
116,1523
117,5004
118,8429
119,1171
120,5461
121,5053
122,5140
123,7125
124,4267
125,7482
126,1463
127,1171
128,3912
129,6455
130,325
131,1646
132,6354
133,3729
134,5004
135,7482
136,4841
137,6841
138,7076
139,934
140,8654
141,4027
142,4267
143,8683
144,256
145,4961
146,2460
147,4185
148,9287
149,9073
150,5904
151,6841
152,536
153,4961
154,4948
155,319
156,325
157,5523
158,1171
159,3743
160,325
161,5524
162,3743
163,934
164,4267
165,8130
166,5208
167,1628
168,934
169,4974
170,325
171,5523
172,2490
173,1524
174,3082
175,1510
176,4562
177,4621
178,5519
179,8576
180,1571
181,5519
182,83
183,5523
184,7487
185,8897
186,325
187,4185
188,5238
189,4267
190,4267
191,5140
192,2205
193,7936
194,4612
195,2876
196,6156
197,7362
198,7448
199,1416
200,8931
201,176
202,8839
203,5424
204,6648
205,3768
206,8363
207,7036
208,6428
209,3936
210,3450
211,6898
212,7952
213,8019
214,6898
215,2579
216,3894
217,6306
218,4649
219,7935
220,4354
221,1628
222,7482
223,9911
224,6937
225,5246
226,4974
227,9911
228,5993
229,4185
230,4185
231,4267
232,4106
233,4948
234,4562
235,6024
236,1628
237,5424
238,4185
239,4649
240,9911
241,4539
242,2460
243,9911
244,4974
245,1416
246,7036
247,4974
248,3007
249,7743
250,8326
251,4185
252,7362
253,4027
254,934
255,5523
256,699
257,1665
258,7952
259,4911
260,5238
261,4185
262,2686
263,1760
264,2511
265,6700
266,8041
267,4267
268,6354
269,5882
270,5519
271,6183
272,325
273,6024
274,6150
275,4966
276,325
277,1171
278,6073
279,6703
280,8872
281,4667
282,6285
283,7017
284,2844
285,4267
286,4562
287,2579
288,325
289,1665
290,933
291,1184
292,2989
