Id,Predicted
1,8209
2,1463
3,6492
4,7680
5,8297
6,6650
7,1966
8,1650
9,6841
10,5523
11,1509
12,1184
13,1063
14,4769
15,3936
16,4667
17,8494
18,9136
19,7806
20,8872
21,1966
22,8326
23,1935
24,8704
25,9094
26,5485
27,1171
28,8739
29,5523
30,1906
31,6898
32,3743
33,9243
34,5523
35,2074
36,6911
37,169
38,7957
39,9218
40,3989
41,1665
42,5279
43,1590
44,2989
45,6871
46,9577
47,1171
48,5523
49,5461
50,8329
51,4667
52,2110
53,5904
54,2579
55,325
56,4562
57,6455
58,6534
59,325
60,5523
61,9135
62,8946
63,1509
64,7463
65,5523
66,5258
67,5938
68,4106
69,1509
70,4859
71,7313
72,3086
73,4562
74,1416
75,9136
76,5523
77,2676
78,4621
79,4892
80,1901
81,4925
82,1350
83,1510
84,2586
85,6911
86,3296
87,8930
88,8506
89,5523
90,6354
91,1509
92,7607
93,1350
94,4185
95,5523
96,2466
97,9353
98,1906
99,3220
100,6090
101,1935
102,1509
103,4267
104,1590
105,5076
106,3854
107,450
108,6911
109,5523
110,3234
111,3151
112,6732
113,5588
114,3253
115,4185
116,4106
117,2481
118,6871
119,6428
120,7036
121,4716
122,4562
123,8704
124,9902
125,6150
126,1463
127,6817
128,3912
129,5523
130,8326
131,1029
132,371
133,4539
134,5004
135,5523
136,4841
137,6841
138,6911
139,4818
140,8654
141,4027
142,9421
143,5703
144,4859
145,1029
146,9543
147,5523
148,1171
149,9607
150,5904
151,6841
152,536
153,5523
154,8931
155,325
156,8326
157,5523
158,1171
159,6911
160,8326
161,5524
162,2470
163,5523
164,7482
165,7368
166,7736
167,6354
168,5258
169,5140
170,325
171,5523
172,3058
173,2110
174,1628
175,4267
176,6024
177,6354
178,7036
179,6033
180,2445
181,6156
182,5523
183,1029
184,5125
185,5523
186,325
187,1075
188,1173
189,8322
190,8152
191,4185
192,2205
193,7936
194,1590
195,2876
196,6354
197,5747
198,3854
199,9148
200,3989
201,1509
202,1698
203,7313
204,5642
205,3768
206,8363
207,5538
208,5132
209,9262
210,5279
211,6898
212,834
213,8019
214,6898
215,1665
216,3894
217,7781
218,4185
219,5523
220,5359
221,3337
222,7935
223,1590
224,9136
225,5246
226,4032
227,6841
228,5993
229,9219
230,5523
231,5523
232,9987
233,5140
234,1218
235,5642
236,7935
237,360
238,4841
239,8326
240,1590
241,1171
242,4565
243,6841
244,3729
245,2586
246,7036
247,5523
248,3890
249,6803
250,5523
251,5346
252,6547
253,5523
254,4612
255,1350
256,699
257,1665
258,834
259,5807
260,6911
261,5968
262,3193
263,2586
264,5258
265,1966
266,6156
267,5393
268,1134
269,1171
270,1075
271,6183
272,2481
273,2788
274,8326
275,3281
276,8326
277,5588
278,5523
279,7368
280,5517
281,5004
282,8751
283,266
284,6841
285,1516
