Id,Predicted
1,2021
2,1646
3,6492
4,5364
5,8297
6,6650
7,9607
8,4682
9,476
10,9390
11,640
12,1624
13,1071
14,4897
15,5565
16,7566
17,7113
18,3183
19,7806
20,8649
21,1966
22,6989
23,7022
24,8704
25,8250
26,2129
27,1205
28,8739
29,5807
30,2435
31,3167
32,1326
33,9704
34,2946
35,7487
36,151
37,169
38,1561
39,9218
40,899
41,1665
42,3833
43,7795
44,2989
45,6156
46,3505
47,9398
48,7487
49,1668
50,8329
51,485
52,1420
53,3085
54,346
55,2866
56,2172
57,6455
58,3489
59,4974
60,85
61,3416
62,2243
63,9051
64,4789
65,1026
66,5148
67,4986
68,6861
69,1509
70,2136
71,5029
72,4578
73,6898
74,8967
75,3761
76,9468
77,7125
78,5153
79,1876
80,1523
81,4925
82,267
83,8479
84,624
85,2844
86,1885
87,8930
88,1584
89,4699
90,3767
91,9956
92,2941
93,9826
94,757
95,8955
96,1769
97,9353
98,953
99,3220
100,6958
101,1935
102,3837
103,4267
104,3139
105,8594
106,7565
107,450
108,5396
109,7505
110,2688
111,1498
112,2885
113,5588
114,2355
115,8359
116,2388
117,3943
118,8429
119,6102
120,7036
121,8326
122,9490
123,8704
124,8585
125,1610
126,6835
127,6817
128,3912
129,3635
130,6131
131,6941
132,8289
133,8152
134,5004
135,5663
136,5857
137,7687
138,7222
139,8670
140,8654
141,4027
142,5197
143,3804
144,256
145,1992
146,8746
147,1890
148,8523
149,4563
150,2593
151,7504
152,9086
153,5332
154,2327
155,5315
156,6026
157,3073
158,3066
159,2221
160,8643
161,1210
162,9065
163,6158
164,9398
165,2459
166,7482
167,8064
168,1297
169,6450
170,9141
171,4233
172,5645
173,1524
174,9814
175,4267
176,4578
177,5044
178,2546
179,9394
180,6135
181,7725
182,2470
183,4615
184,7836
185,8897
186,4296
187,9193
188,1966
189,5011
190,6669
191,4911
192,2205
193,1192
194,8688
195,2876
196,5596
197,8772
198,9981
199,9148
200,6478
201,4947
202,8839
203,4174
204,9565
205,3768
206,447
207,7523
208,7552
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,2673
216,5059
217,1611
218,2340
219,8936
220,7180
221,6463
222,5191
223,3878
224,9378
225,5246
226,5891
227,5181
228,5993
229,4974
230,8041
231,9679
232,4106
233,7690
234,9467
235,9218
236,1518
237,1405
238,8813
239,4736
240,3878
241,5413
242,2688
243,6077
244,971
245,115
246,6549
247,643
248,2363
249,7743
250,8326
251,4485
252,5488
253,4027
254,2341
255,1129
256,699
257,1270
258,7952
259,1703
260,5173
261,7853
262,6763
263,6599
264,8491
265,1052
266,6156
267,9920
268,5986
269,4961
270,482
271,6183
272,6888
273,1318
274,4027
275,6022
276,8989
277,5248
278,7623
279,6703
280,5986
281,9998
282,1402
283,9996
284,2817
285,9361
286,4562
287,3899
288,4099
289,2906
290,933
291,1184
292,2783
293,2686
294,5553
295,1796
296,5900
297,8267
298,1175
299,1177
300,3532
301,5376
302,5566
303,4539
304,8654
305,7957
306,5632
307,2125
308,5211
309,2909
310,1836
311,6006
312,6679
313,889
314,747
315,1291
316,214
317,319
318,5588
319,8701
320,4223
321,4977
322,985
323,5795
324,9653
325,3025
326,4996
327,5891
328,9048
329,9092
330,4427
331,8893
332,8878
333,7254
334,7894
335,1056
336,7315
337,8916
338,7944
339,5197
340,1973
341,2986
342,7226
343,7959
344,7717
345,9778
346,3759
347,130
348,1312
349,7775
350,1851
351,6841
352,5965
353,476
354,2351
355,1758
356,9096
357,4004
358,7120
359,8905
360,6128
361,3377
362,7861
363,1901
364,6648
365,3032
366,1112
367,2000
368,9312
369,5107
370,5517
371,5588
372,8643
373,5258
374,6667
375,8176
376,3120
377,1223
378,2536
379,3933
380,8780
381,5269
382,360
383,5697
384,4850
385,2788
386,3997
387,4692
388,7790
389,4439
390,2313
391,3153
392,6889
393,6412
394,1090
395,8394
396,4165
397,5546
398,8077
399,4486
400,4811
401,6127
402,2873
403,9607
404,8195
405,1240
406,286
407,9889
408,3068
409,2128
410,1978
411,5588
412,1516
413,7886
414,340
415,1200
416,8041
417,1128
418,7650
419,2593
420,1961
421,4491
422,7009
423,2831
424,7254
425,4490
426,6321
427,4716
428,8142
429,3843
430,6004
431,4347
432,169
433,4462
434,7720
435,3951
436,6024
437,1917
438,8321
439,8562
440,8666
441,292
442,7049
443,407
444,1148
445,4182
446,7787
447,6372
448,8671
449,2352
450,325
451,3439
452,5046
453,744
454,7736
455,1529
456,2239
457,2073
458,3695
459,2437
460,1850
461,2505
462,7861
463,820
464,4427
465,6045
466,923
467,4974
468,587
469,684
470,7942
471,2440
472,1064
473,8865
474,7399
475,7995
476,7906
477,4985
478,7320
479,2670
480,9002
481,2188
482,4960
483,1545
484,5238
485,3725
486,250
487,8996
488,6763
489,2770
490,2508
491,8974
492,9129
493,3803
494,3634
495,4872
496,5363
497,4532
498,5748
499,6237
500,4795
501,4372
502,7831
503,7989
504,1215
505,9118
506,2642
507,5316
508,2349
509,7346
510,7162
511,8460
512,7996
513,3754
514,1386
515,9638
516,4656
517,139
518,8834
519,9645
520,7821
521,6538
522,5419
523,2802
524,4770
525,8129
526,8303
527,4811
528,2867
529,7966
530,9638
531,4562
532,4795
533,5651
534,9398
535,2378
536,5057
537,1509
538,4858
539,6547
540,9568
541,411
542,1626
543,5755
544,3779
545,9745
546,4094
547,3675
548,4758
549,487
550,8648
551,1740
552,8104
553,9707
554,823
555,1650
556,6150
557,5857
558,4408
559,2566
560,2983
561,7079
562,1717
563,1946
564,4288
565,2222
566,4612
567,2870
568,3219
569,6110
570,1353
571,3459
572,9351
573,7450
574,5662
575,391
576,8038
577,4480
578,4928
579,1393
580,1603
581,9604
582,1052
583,7036
584,215
585,1760
586,6648
587,7185
588,5333
589,7340
590,4645
591,4918
592,5395
593,1954
594,9574
595,9554
596,117
597,463
598,4426
599,3843
600,373
601,1754
602,4742
603,8731
604,1731
605,5044
606,8912
607,1680
608,5831
609,7554
610,7312
611,6534
612,7515
613,4638
614,3014
615,4372
616,2470
617,6169
618,9766
619,6111
620,3817
621,2834
622,4612
623,9021
624,8403
625,5677
626,7195
627,4334
628,9521
629,5136
630,6652
631,2661
632,6306
633,7806
634,4402
635,7556
636,492
637,819
638,3436
639,8134
640,513
641,2219
642,5163
643,3601
644,4566
645,6805
646,3089
647,6772
648,380
649,7054
650,9176
651,9826
652,9139
653,3729
654,1661
655,4130
656,4729
657,4621
658,8776
659,673
660,8842
661,4885
662,6838
663,9186
664,9136
665,8835
666,2393
667,1474
668,2730
669,1317
670,9246
671,1210
672,5519
673,887
674,6411
675,7821
676,5986
677,3799
678,8900
679,2792
680,377
681,1163
682,5424
683,5944
684,4272
685,8839
686,2909
687,2473
688,15
689,8637
690,5977
691,4343
692,414
693,1561
694,2960
695,8618
696,8689
697,3743
698,3950
699,1680
700,7918
701,1726
702,7003
703,9301
704,9606
705,6392
706,8363
707,8118
708,17
709,7499
710,2802
711,7153
712,7945
713,4706
714,2770
715,9234
716,2150
717,8189
718,237
719,9075
720,1163
721,6652
722,3335
723,458
724,2038
725,7460
726,2481
727,5258
728,8822
729,6493
730,5720
731,6183
732,1220
733,2131
734,6626
735,5293
736,2110
737,5523
738,2497
739,2872
740,6745
741,5396
742,8055
743,8903
744,3009
745,7191
746,73
747,2081
748,6028
749,9958
750,6943
751,3281
752,4243
753,426
754,1558
755,9493
756,4622
757,8673
758,1129
759,3743
760,1972
761,4566
762,2343
763,5909
764,287
765,3257
766,5828
767,8096
768,2927
769,7935
770,6046
771,2845
772,3590
773,9831
774,9269
775,3176
776,2483
777,7352
